sequence_id,PC1,PC2,label
synthetic_AT_rich_01,-0.12067489896120702,0.0009728650820606903,AT_rich
synthetic_AT_rich_02,-0.14492538216485215,0.052145184507002076,AT_rich
synthetic_AT_rich_03,-0.12786438404543476,0.018702714620688586,AT_rich
synthetic_AT_rich_04,-0.13936334917114282,0.026983696975356835,AT_rich
synthetic_AT_rich_05,-0.14228474693187343,0.04277422573819423,AT_rich
synthetic_AT_rich_06,-0.12178817419898187,0.01207289016719772,AT_rich
synthetic_AT_rich_07,-0.13242869578361746,0.03140186451244998,AT_rich
synthetic_AT_rich_08,-0.12791295985759482,0.033029143630284905,AT_rich
synthetic_GC_rich_01,0.11293273833561633,0.01649492333205111,GC_rich
synthetic_GC_rich_02,0.1327579667959915,0.028622656807709392,GC_rich
synthetic_GC_rich_03,0.135653081248377,0.03755709753154552,GC_rich
synthetic_GC_rich_04,0.15543285770021953,0.052738003053326966,GC_rich
synthetic_GC_rich_05,0.12710637815474224,0.024399254258211638,GC_rich
synthetic_GC_rich_06,0.10599317016628076,0.0005745372024601384,GC_rich
synthetic_GC_rich_07,0.13660802532311953,0.0434828551117093,GC_rich
synthetic_GC_rich_08,0.13406307164667353,0.01886796450878664,GC_rich
synthetic_Balanced_01,0.010783379822601028,-0.05394846206379149,Balanced
synthetic_Balanced_02,-0.005392335312038869,-0.05983772547040154,Balanced
synthetic_Balanced_03,-0.002662548915435205,-0.06242446680873451,Balanced
synthetic_Balanced_04,0.005523486855511673,-0.06727086427251977,Balanced
synthetic_Balanced_05,0.020114067559023327,-0.04667220012269851,Balanced
synthetic_Balanced_06,-0.0029448249865536556,-0.05214091161602202,Balanced
synthetic_Balanced_07,-0.0037940558312926334,-0.04954972631210879,Balanced
synthetic_Balanced_08,-0.004931867448131825,-0.04897552037275912,Balanced
